Time_from_start, RA, dec, DM, SNR, DM_corr, SNR_corr, “ı1000_ , S_o, S_o50
31173.3, 3.69, 36.92, 9.39, 6.17, 9.39, 9, 45, 21.1, 10.5
9059.17, 20.85, 39.22, 15.74, 6.13, 15.74, 9, 76, 35.3, 17.6
32221.2, 3.29, 40.41, 17.8, 6.16, 17.79, 9, 64, 29.6, 14.8
1757.54, 11.05, 53.91, 12.18, 6.51, 12.176, 9, 27, 12.3, 6.2
14722.8, 15.79, 57.4, 13.73, 6.52, 13.73, 9, 35, 16.1, 8
1676.91, 19.72, 68.23, 18.17, 6.01, 18.172, 9, 48, 23, 11.5
22849.4, 3.83, -0.47, 26.65, 6.11, 26.646, 9.1, 32, 23.2, 11.6
3364.98, 22.55, 1.24, 22.74, 6.32, 22.738, 9.1, 35, 24.5, 12.2
1534.58, 22.44, 16.89, 11.42, 6.22, 11.418, 9.1, 47, 25.9, 12.9
34178.9, 6.85, -2.24, 22.52, 6.02, 22.526, 9.2, 44, 33.5, 16.7
17382.3, 23.46, 28.14, 13.99, 6.2, 13.988, 9.2, 41, 20.6, 10.3
5253.39, 7.96, 41.96, 5.24, 6.05, 5.238, 9.2, 35, 16.5, 8.2
35750.9, 7.22, -8.27, 10.59, 6.37, 10.59, 9.3, 35, 31.3, 15.7
14977.5, 2.11, 14.12, 24.01, 6.32, 24.01, 9.3, 44, 25.6, 12.8
41944.9, 6.28, 27.3, 6.58, 6.02, 6.574, 9.3, 55, 28.1, 14
9839.02, 21.07, 39.62, 22.77, 6.5, 22.76, 9.3, 72, 34.5, 17.2
412.241, 18.45, 40.01, 11.2, 6.03, 11.2, 9.3, 50, 23.9, 12
4639.61, 8.58, -8.94, 11.85, 6.05, 11.85, 9.4, 23, 21.2, 10.6
24677.7, 17.77, 17.5, 2.5, 6.03, 2.498, 9.4, 70, 39.5, 19.8
42370.5, 9.06, -6.82, 17.96, 6.64, 17.958, 9.5, 21, 18.5, 9.2
30437.9, 6.14, 6.22, 12.34, 6.81, 12.34, 9.5, 49, 32.7, 16.3
33486.1, 7.05, 7.74, 16.78, 6.06, 16.78, 9.5, 39, 25.4, 12.7
42455.9, 9.61, 10.75, 19.17, 7.21, 19.17, 9.5, 23, 14.3, 7.1
13507.9, 14.67, 16.57, 17.12, 6.05, 17.122, 9.5, 61, 35.2, 17.6
26311.5, 18.22, 17.96, 10.96, 6.09, 10.954, 9.5, 89, 50.5, 25.3
3667.7, 7.71, 18.75, 21.82, 6.21, 21.822, 9.5, 39, 21.9, 11
31093.3, 3.33, 29.75, 17.36, 6.35, 17.36, 9.5, 43, 22.1, 11
15071.2, 23.15, 34.91, 6.08, 6.07, 6.086, 9.5, 45, 22.4, 11.2
37718.5, 5.44, 35.31, 16.11, 6.09, 16.11, 9.5, 59, 29.3, 14.7
16907.7, 13.79, 70.76, 26.91, 6.2, 26.91, 9.5, 34, 17.5, 8.7
33924.5, 16.72, -8.94, 7.85, 6.42, 7.85, 9.6, 46, 43.3, 21.7
42451.4, 21.64, -8.78, 26.86, 6.1, 26.862, 9.7, 38, 36, 18
